lesson_id,section,lesson_title,is_mandatory,video_url,video_duration,video_script,points,decision_1_question,decision_1_uses_paisa,decision_1_option_a,decision_1_option_a_paisa,decision_1_outcome_a,decision_1_option_b,decision_1_option_b_paisa,decision_1_outcome_b,decision_1_option_c,decision_1_option_c_paisa,decision_1_outcome_c,decision_1_reflection_question,decision_1_reflection_option_1,decision_1_reflection_option_2,decision_1_reflection_option_3,decision_2_question,decision_2_uses_paisa,decision_2_option_a,decision_2_option_a_paisa,decision_2_outcome_a,decision_2_option_b,decision_2_option_b_paisa,decision_2_outcome_b,decision_2_option_c,decision_2_option_c_paisa,decision_2_outcome_c,decision_2_reflection_question,decision_2_reflection_option_1,decision_2_reflection_option_2,decision_2_reflection_option_3,confidence_message,confidence_level,language
SIP_L1,SIP,What is SIP and Why It Works,TRUE,https://youtu.be/4H18Qg1m594,0.4,This lesson introduces SIP as a simple way to invest small amounts regularly and build a habit of investing.,100,How would you prefer to start investing?,FALSE,Wait until you save a large amount,0,You delay investing.,Start a small SIP every month,0,You begin investing early.,Invest only when extra money is left,0,Investing becomes irregular.,What mattered most in your choice?,Starting early,Comfort,Fear,You receive extra income this month. What do you do?,TRUE,Spend it fully,-5000,Money is gone.,Add it to your SIP,-5000,Your investment grows.,Keep it idle,0,Growth opportunity missed.,What guided your decision?,Discipline,Short-term thinking,Future goals,You understand how SIP builds habits.,SIP Basics,EN
SIP_L2,SIP,How SIP Handles Market Ups and Downs,FALSE,https://youtu.be/bZEsuOiDwdE,0.4,This lesson explains how SIP manages market ups and downs automatically.,100,Markets are falling. What should you do?,FALSE,Stop SIP,0,You miss buying cheap units.,Continue SIP,0,You benefit from averaging.,Try to time the market,0,Stress increases.,What were you thinking about?,Fear,Long-term goals,Market noise,Markets rise sharply this month. What do you do?,TRUE,Increase SIP suddenly,-10000,Emotional risk increases.,Continue SIP,-5000,Discipline maintained.,Stop SIP,0,Consistency breaks.,What thinking guided you?,Discipline,Excitement,Fear,You stayed calm during volatility.,Market Stability,EN
SIP_L3,SIP,Discipline and Long-Term Security with SIP,FALSE,https://youtu.be/bKy2s5VYlXQ,0.4,This lesson focuses on patience and discipline in SIP investing.,100,Markets are down for months. What will you do?,FALSE,Stop SIP,0,Long-term loss.,Reduce SIP,0,Growth slows.,Continue SIP,0,Results strengthen.,What influenced you?,Patience,Fear,Past losses,You feel SIP returns are slow. What now?,TRUE,Quit SIP,0,Instability increases.,Continue SIP,-5000,Wealth builds.,Switch often,0,Risk increases.,What mindset mattered?,Long-term thinking,Impatience,Risk tolerance,You value long-term discipline.,Long-Term Investor,EN
SWP_L1,SWP,What Is SWP and Why Regular Income Matters,FALSE,https://youtu.be/Aq5WXmQQooo?si=S8k6Sinfze7JYeZK,0.4,This lesson introduces SWP as a way to get regular income from savings.,100,You need monthly income. What will you do?,FALSE,Take all money,0,Money ends early.,Do nothing,0,Income problem continues.,Use SWP,0,Income becomes steady.,What were you balancing?,Income,Safety,Future needs,You start SWP with savings. Monthly withdrawal?,TRUE,"Withdraw ₹10,000 per month",-120000,Savings fall fast.,"Withdraw ₹5,000 per month",-60000,Balance maintained.,"Withdraw ₹2,000 per month",-24000,Income feels low.,What guided your choice?,Needs,Longevity,Risk comfort,You understood SWP basics.,SWP Basics,EN
SWP_L2,SWP,How SWP Works While Money Stays Invested,FALSE,https://youtu.be/Aq5WXmQQooo?si=S8k6Sinfze7JYeZK,0.4,This lesson explains that money remains invested during SWP.,100,What happens to money in SWP?,FALSE,Stops growing,0,Incorrect.,Keeps growing,0,Correct understanding.,Becomes fixed,0,Growth misunderstood.,What mattered most?,Growth,Liquidity,Safety,You increase withdrawals. Result?,TRUE,Withdraw too much,-100000,Savings drain.,Withdraw moderately,-60000,Balance stays.,Withdraw very little,-20000,Income low.,What were you aiming for?,Stability,High income,Growth,You understand SWP mechanics.,SWP Working Clarity,EN
SWP_L3,SWP,Planning SWP Wisely for Long-Term Security,FALSE,https://youtu.be/Aq5WXmQQooo?si=S8k6Sinfze7JYeZK,0.4,This lesson focuses on planning SWP wisely.,100,What matters most in long-term SWP?,FALSE,Maximum income,0,Risky.,Quick returns,0,Unstable.,Balanced planning,0,Sustainable.,What influenced you?,Future needs,Risk tolerance,Peace,You withdraw monthly. How much?,TRUE,"Withdraw ₹10,000 per month",-120000,Savings drop.,"Withdraw ₹5,000 per month",-60000,Savings healthy.,"Withdraw ₹2,000 per month",-24000,Income low.,What mattered most?,Income,Safety,Uncertainty,You planned withdrawals wisely.,Smart Income Planner,EN
MF_L1,Mutual Funds,What Are Mutual Funds and Why People Use Them,FALSE,https://youtu.be/Aq5WXmQQooo?si=S8k6Sinfze7JYeZK,0.4,This lesson explains what mutual funds are and why people use them.,100,What does a mutual fund do?,FALSE,Single company,0,High risk.,Multiple investments,0,Risk spreads.,Money idle,0,No growth.,What did you expect?,Safety,Growth,Expert management,You invest money. What do you choose?,TRUE,One company,-100000,High risk.,Mutual fund,-100000,Risk spreads.,Do nothing,0,Missed growth.,What mattered most?,Risk spread,Growth,Fear,You understand MF basics.,MF Basics,EN
MF_L2,Mutual Funds,Risk and Return in Mutual Funds,FALSE,https://youtu.be/Aq5WXmQQooo?si=S8k6Sinfze7JYeZK,0.4,This lesson explains risk-return relationship.,100,What is the relationship between Risk and Return?,FALSE,No risk,0,Incorrect.,Linked,0,Correct.,Irrelevant,0,Wrong idea.,What were you comfortable with?,Growth,Stability,Low risk,You choose a fund. Which?,TRUE,High risk,-100000,Volatile.,Balanced,-100000,Stable growth.,Low risk,-100000,Slow growth.,What guided you?,Risk tolerance,Time,Returns,You understand risk-return.,Risk Awareness,EN
MF_L3,Mutual Funds,Balance and Asset Allocation in Mutual Funds,FALSE,https://youtu.be/Aq5WXmQQooo?si=S8k6Sinfze7JYeZK,0.4,This lesson explains asset allocation.,100,Why are we advised to allocate assets?,FALSE,Avoid concentration,0,Correct.,Guarantee profit,0,Impossible.,Remove volatility,0,Markets fluctuate.,What were you seeking?,Stability,Growth,Peace,"You invest ₹2,00,000. How?",TRUE,All equity,-200000,High swings.,Balanced,-200000,Stable.,All debt,-200000,Low growth.,What guided allocation?,Balance,Time horizon,Income,You learned asset balance.,Balanced Investor,EN
FD_L1,FD,What Fixed Deposits Are and Why People Trust Them,FALSE,https://youtu.be/Aq5WXmQQooo?si=S8k6Sinfze7JYeZK,0.4,This lesson explains what Fixed Deposits are and why people prefer them for safety and certainty.,100,Why do many people prefer Fixed Deposits?,FALSE,They give guaranteed returns,0,Returns are predictable.,They offer very high growth,0,FDs focus on safety.,They change with markets,0,FD returns are stable.,What mattered most?,Safety,Certainty,Peace of mind,"You have ₹2,00,000 Practice Paisa. How will you use it?",TRUE,FD for 1 year,-200000,Money is locked.,Split FD and liquid,-100000,Flexibility maintained.,FD for 5 years,-200000,Long lock-in.,What were you protecting?,Safety,Liquidity,Future needs,You understood FD planning.,FD Basics,EN
FD_L2,FD,"How FD Works: Time, Interest, and Lock-In",FALSE,https://youtu.be/Aq5WXmQQooo?si=S8k6Sinfze7JYeZK,0.4,"This lesson explains FD tenure, interest, and lock-in.",100,What happens when you break an FD early?,FALSE,Interest reduces,0,Penalty applies.,Full interest paid,0,Incorrect.,FD cannot break,0,Wrong.,What influenced you?,Time commitment,Penalty awareness,Certainty,Medical emergency after 8 months. What happens?,TRUE,Break 1-year FD,-50000,Interest reduced.,Use liquid money,-50000,FD intact.,Break long FD,-80000,Higher penalty.,What trade-off mattered?,Interest loss,Emergency,Lock-in,You understood FD penalties.,FD Mechanics,EN
